#Depth	TVD	DX	DY	AC	AF10	AF20	AF30	AF60	AF90	AZIM	CAL	CARB
150	150	0	0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
150.125	150.125	0	0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
150.25	150.25	0	0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
150.375	150.375	0	0	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
150.5	150.5	-0.001	0.001	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
150.625	150.625	-0.002	0.001	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
150.75	150.75	-0.003	0.001	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
150.875	150.875	-0.004	0.002	225.264	1950	0.741	1950	229.124	229.187	295.754	22.289	-9999
151	151	-0.006	0.002	225.264	1950	0.741	1950	229.132	229.191	295.754	22.289	-9999
151.125	151.125	-0.007	0.003	225.655	1950	0.743	1950	261.596	246.687	295.306	22.289	-9999
151.25	151.25	-0.008	0.003	211.964	1950	0.745	1950	299.213	263.061	294.052	22.329	-9999
151.375	151.375	-0.009	0.004	192.753	1950	0.747	1950	342.745	274.678	292.212	22.291	-9999
151.5	151.5	-0.01	0.004	187.708	1950	0.747	1950	392.042	279.903	290.439	22.328	-9999
151.625	151.625	-0.011	0.004	189.189	1950	0.746	1950	446.571	278.553	289.678	22.319	-9999
151.75	151.75	-0.012	0.005	188.788	1950	0.746	1950	500.034	273.176	290.287	22.322	-9999
151.875	151.875	-0.014	0.005	188.002	1950	0.744	1950	539.04	266.77	290.142	22.327	-9999
152	152	-0.015	0.005	187.561	1950	0.743	1950	541.542	261.388	289.553	22.311	-9999
152.125	152.125	-0.016	0.006	187.472	1950	0.743	1950	501.433	257.885	289.107	22.345	-9999
152.25	152.25	-0.017	0.006	187.069	1950	0.743	1950	433.313	256.037	288.956	22.341	-9999
152.375	152.375	-0.018	0.007	188.178	1950	0.744	1950	360.77	255.101	287.176	22.292	-9999
152.5	152.5	-0.02	0.007	188.896	1950	0.746	1950	299.838	253.989	285.908	22.292	-9999
152.625	152.625	-0.021	0.008	189.646	1950	0.75	1950	254.486	252.169	285.191	22.344	-9999
152.75	152.75	-0.022	0.008	190.32	1950	0.754	1950	225.064	249.851	285.827	22.334	-9999
152.875	152.875	-0.023	0.009	190.636	1950	0.758	1950	207.746	248.294	288.344	22.346	-9999
153	153	-0.024	0.009	190.889	1950	0.762	1950	201.212	249.292	290.739	22.346	-9999
153.125	153.125	-0.025	0.01	191.425	1950	0.765	1950	205.442	255.061	293.368	22.346	-9999
153.25	153.25	-0.026	0.01	191.539	1950	0.767	1950	220.393	266.551	294.487	22.304	-9999
153.375	153.375	-0.028	0.011	191.476	1950	0.768	1950	248.874	284.426	294.571	22.29	-9999
153.5	153.5	-0.029	0.011	191.444	1950	0.768	1950	293.123	306.521	294.127	22.327	-9999
153.625	153.625	-0.03	0.012	191.417	1950	0.767	1950	351.264	327.871	293.29	22.303	-9999
153.75	153.75	-0.031	0.013	191.469	1950	0.767	1950	411.993	340.78	292.988	22.344	-9999
153.875	153.875	-0.032	0.013	190.964	1950	0.767	1950	445.934	340.094	295.269	22.346	-9999
154	154	-0.033	0.014	191.11	1950	0.768	1950	432.777	326.53	298.396	22.346	-9999
154.125	154.125	-0.034	0.014	191.505	1950	0.769	1950	378.18	305.018	301.142	22.346	-9999
154.25	154.25	-0.035	0.015	191.411	1950	0.771	1950	316.434	283.137	302.539	22.346	-9999
154.375	154.375	-0.036	0.016	191.06	1950	0.773	1950	264.335	265.059	301.556	22.291	-9999
154.5	154.5	-0.037	0.016	191.741	1950	0.775	1950	227.285	253.178	301.035	22.326	-9999
154.625	154.625	-0.038	0.017	191.765	1950	0.777	1950	201.758	247.318	300.958	22.313	-9999
154.75	154.75	-0.039	0.018	191.686	1950	0.779	1950	185.057	247.444	302.357	22.318	-9999
154.875	154.875	-0.04	0.018	191.767	1950	0.781	1950	173.888	252.516	304.335	22.321	-9999
155	155	-0.041	0.019	191.781	1950	0.783	1950	165.62	260.605	304.499	22.345	-9999
155.125	155.125	-0.042	0.019	191.891	1950	0.786	1950	158.384	268.637	303.808	22.307	-9999
155.25	155.25	-0.043	0.02	192.032	1950	0.789	1950	151.016	272.136	303.899	22.301	-9999
155.375	155.375	-0.044	0.02	192.389	1950	0.793	1950	143.314	267.842	302.378	22.344	-9999
155.5	155.5	-0.045	0.021	192.764	1950	0.797	1950	135.779	253.956	299.436	22.294	-9999
155.625	155.625	-0.046	0.021	192.939	1950	0.802	1950	129.309	234.99	296.003	22.291	-9999
155.75	155.75	-0.047	0.022	192.929	1950	0.806	1950	124.754	215.571	292.659	22.344	-9999
155.875	155.875	-0.048	0.022	192.845	1950	0.81	1950	123.292	200.711	291.811	22.291	-9999
156	156	-0.049	0.023	193.125	1950	0.811	1950	125.382	192.059	292.49	22.336	-9999
